gender,num_of_module_created,num_of_modules_thirty_sec,num_of_problens,num_of_video,num_of_problem_uploads,average_grade,seventy_uploads,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,Grand_Total
1,50,20,22,9,4.0,1.0,0,0,0,0,0,0,0,0,1,1,1,51
1,38,26,19,5,12.0,1.0,0,0,0,0,0,0,0,0,0,1,1,39
1,17,12,4,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,18
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
2,15,2,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,16
1,13,2,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,14
1,30,11,11,2,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,31
1,169,124,86,13,61.0,1.0,1,1,1,0,0,1,1,1,1,1,1,170
1,10,2,3,0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,11
1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,3
1,149,116,79,23,53.0,1.0,0,1,0,0,0,1,0,1,1,1,1,150
1,58,44,25,11,15.0,1.0,0,0,0,0,0,0,0,0,1,1,1,59
1,54,36,24,8,13.0,1.0,0,0,0,0,0,0,0,0,1,1,1,55
1,27,2,11,1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,28
1,73,66,36,13,33.0,1.0,0,1,0,0,0,0,0,0,1,1,1,74
